MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:94862	Slc6a3	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	13		regulation of dopamine metabolic process	regulates a function/process that happens in hypothalamus|regulates a function/process that happens in pituitary gland		IMP	MGI:2386303 	J:41856 	
MGI:1277151	Snca	synuclein, alpha	6		dopamine biosynthetic process	happens in corpus striatum		IMP	MGI:1888382 	J:60151 	
MGI:1277151	Snca	synuclein, alpha	6		dopamine metabolic process	happens in corpus striatum		IGI	MGI:1889011 	J:93544 	
MGI:1277151	Snca	synuclein, alpha	6		negative regulation of dopamine metabolic process			ISO	RGD:3729 	J:155856 	
MGI:1915097	Sncaip	synuclein, alpha interacting protein (synphilin)	18		dopamine metabolic process			ISO	Q9Y6H5 	J:73065 	
MGI:1889011	Sncb	synuclein, beta	13		dopamine metabolic process	happens in corpus striatum		IGI	MGI:1277151 	J:93544 	
MGI:103078	Spr	sepiapterin reductase	6		dopamine metabolic process	happens in caudate-putamen|happens in cerebellum		IMP	MGI:3757641 	J:124817 	
MGI:892968	Tacr3	tachykinin receptor 3	3		regulation of dopamine metabolic process			ISO	RGD:3810 	J:155856 	
MGI:98726	Tgfb2	transforming growth factor, beta 2	1		dopamine biosynthetic process			IMP		J:108007 	
MGI:98735	Th	tyrosine hydroxylase	7		dopamine biosynthetic process			ISO	P07101 	J:164563 	
MGI:98735	Th	tyrosine hydroxylase	7		dopamine biosynthetic process from tyrosine			IBA	PTN001690342 	J:265628 	
MGI:98735	Th	tyrosine hydroxylase	7		dopamine biosynthetic process from tyrosine			IDA		J:79010 	
MGI:98735	Th	tyrosine hydroxylase	7		dopamine biosynthetic process from tyrosine			IMP	MGI:1860450 	J:24347 J:30273 	
MGI:98735	Th	tyrosine hydroxylase	7		dopamine biosynthetic process from tyrosine			ISO	RGD:3853 	J:155856 	
MGI:98735	Th	tyrosine hydroxylase	7		dopamine biosynthetic process from tyrosine			TAS		J:54692 	
MGI:3769724	Tomt	transmembrane O-methyltransferase	7		dopamine metabolic process			IBA	PTN000053580 	J:265628 	
MGI:1890467	Vps35	VPS35 retromer complex component	8		positive regulation of dopamine biosynthetic process	happens in corpus striatum,happens in UBERON:0007023,happens in dopaminergic neuron|happens in midbrain,happens in UBERON:0007023,happens in dopaminergic neuron		IMP		J:225806 	

